6 9
1 2 3
1 3 20
2 4 25
2 5 17
3 4 34
3 5 1
3 6 12
4 5 5
5 6 37

6 9
1 2 2
1 5 3
1 3 6
2 3 5
2 4 7
3 4 9
3 5 8
4 6 4
5 6 3




5 7
1 2 75
1 4 95
1 3 51
2 4 9
4 3 19
4 5 42
3 5 31

10 25
1 2 75
2 4 65
4 7 35
3 6 45
6 1 55
7 6 4
7 8 6
1 3 1
2 7 90
1 4 53
2 5 27
7 5 94
4 6 98
5 8 99
3 4 105
1 5 205
9 10 223
9 3 272
8 9 174
9 2 153
10 5 21
10 2 66
10 1 87
10 8 37
3 10 44


30 60
1 20 1
19 14 2
22 5 3
24 5 4
11 29 5
6 20 6
25 4 7
30 7 8
18 26 9
25 8 10
1 12 11
15 27 12
2 6 13
13 19 14
20 28 15
3 8 16
6 1 17
24 9 18
21 27 19
16 2 20
12 22 21
7 29 22
23 26 23
11 4 24
7 23 25
15 30 26
16 3 27
6 21 28
24 14 29
21 22 30
29 21 31
28 14 32
1 2 33
20 9 34
29 15 35
28 18 36
21 20 37
23 4 38
29 20 39
14 18 40
1 14 41
20 8 42
6 5 43
18 29 44
10 8 45
22 4 46
30 24 47
6 7 48
27 2 49
30 25 50
10 16 51
5 20 52
19 10 53
17 8 54
27 5 55
25 26 56
8 24 57
2 18 58
25 27 59
16 29 60
